id	model
001	CDM1550LS+ 700/200 UHF & VHF
004	EX500 / 600XLS UHF & VHF
005	PR860 UHF / VHF / Low Band
008	HT1250LS+ UHF & VHF 200 or 700
018	CP150 / 200 UHF & VHF
019	CM200 / 300 UHF & VHF, PM400 UHF & VHF
027	BPR40
035	Portable
037	XPR6500
038	XPR4550
038	Mobile
077	Paging
084	Paging
085	Paging
088	Triton MP+ H5111A, Triton MP100 H5126A
103	CDM750 Low Band / UHF / VHF
105	DP3441
108	Astro Saber Europe
109	CDM1250 UHF / VHF / Low Band
112	Infrastructure
114	Infrastructure
117	Infrastructure
118	Infrastructure
119	Paging
124	Infrastructure
126	XPR7850
129	Infrastructure
131	Infrastructure
135	Infrastructure
139	Data
140	Infrastructure
142	TRNK MCS2000 DUPLEX
144	Infrastructure
147	Infrastructure
148	Infrastructure
152	Infrastructure
153	HIGH PERF DATA SUBSCRIBER
154	Mobile
159	Radius GM300
164	M1225-LS
169	Paging
170	Data
171	Mobile Video Enforcer
174	GP300
176	XTL1500 REBANDING
177	Infrastructure
183	Portable
191	MTX820s / MTX810 PRIVACY PLUS
192	Infrastructure
201	KVL 3000 Plus Keyloader
204	RENAISSANCE OPEN
205	XTS2500 7/800, 900
205	XTS2250 (7/800 MHz) / 700/800 STINGRAY
207	Digital Vehicular Repeater VHF/UHF/700/800
214	Infrastructure
218	Quantro
221	CLEAR SPECTRA (LO/MID) C
225	Infrastructure
228	Infrastructure
229	Infrastructure
235	Infrastructure
241	Data
243	Infrastructure
244	Infrastructure
246	Commercial Tier Portable
253	Paging
256	SABER/ASTRO ACCY
257	Infrastructure
261	General Test Equipment
262	General Test Equipment
265	Infrastructure
270	XTS2500 REBANDING
270	Spectra 800 E7
273	Infrastructure
274	Infrastructure
275	Infrastructure
276	XTL5000 CONSOLETTE
277	Infrastructure
280	Infrastructure
281	Infrastructure
282	Micom SSB 1000W Linear
287	PAC-RT,VRS
296	Data
301	Infrastructure
305	SPECIAL ENCRYPT PORTABLE
307	Infrastructure
310	Astro Saber
311	Data
312	Data
314	Data
320	XTS5000 136-174, UHF R2
322	Infrastructure
326	XTS3000
329	Infrastructure
332	CONV. FLASHPORT SUBSCR.
